model,link,question_number,eng_question,wrong_in,n_wrong_langs
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Roman_Culture/Medicine,1,Which medical treatment or procedure is not mentioned as being used by doctors and surgeons during the Roman Empire?,fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Sensory_Systems/Visual_System,2,What does the variation of eye structure between organisms depend upon?,fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Sikhism,2,"According to the passage, which of the following is considered a core aspect of the Sikh belief system?",est,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Social_and_Cultural_Foundations_of_American_Education/Special_Needs/ADD,1,"According to the passage, what might children with Attention Deficit Disorder have a hard time focusing on?",est,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Social_and_Cultural_Foundations_of_American_Education/Special_Needs/ADD,2,"According to the passage, why do children with Attention Deficit Disorder tend to engage in risky behaviors?",est,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Social_and_Cultural_Foundations_of_American_Education/Technology/Role,2,Which of the following does not accurately describe the concept of scaffolding?,fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/The_Cold_War/Introduction,1,"According to the passage, which of the following did not affect relations between the USSR and the USA?",fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/The_Seven_Wonders_of_the_World/The_Temple_of_Artemis,1,Who is responsible for our knowledge of the arsonist that destroyed the temple?,fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Warfare,2,"Based on the information given in the passage, who had the most success with naval warfare during the North Atlantic Campaign?",fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Greeks,1,What was the Greek poet Homer unable to do?,fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Hebrews,1,Where did the Hebrew family spend much of their time?,swe,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Big_Cats/Lion,2,Which of the following statements does not accurately describe the behavior of lions?,est,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Big_Cats/Meet_The_Cats,2,Smaller cats commonly hunt which of the following?,fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Biology/Kingdoms/Plants,2,What do humans exhale that plants inhale?,swe,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Biology/Origin_of_Life,1,"According to the passage, which of the following examples would hinder the process of evolution?",est,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Biology/Systems/Circulatory_System,1,Which part of the circulatory system brings blood toward the heart?,fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Dinosaurs/Extinction,2,Which of the following is not commonly considered as a shared characteristic of birds and dinosaurs?,fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Europe/Italy,1,"According to the passage, which of the following sports is likely to be widely popular in the northernmost regions of Italy?",est,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:Europe/Italy,2,"Based on the information given in the passage, which of the following sports won a world championship for Italy?",est,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Computer,1,"According to the passage, which of the following benefits from sound mixing on sophisticated computers?",fin,1
anthropic_claude-haiku-4.5,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Flush_Toilet,2,In which of the following locations were advanced sewage systems found?,swe,1
